
************************************************************
01月01日

1085年1月1日 《资治通鉴》编成
1904年1月1日 京剧表演艺术家程砚秋诞辰
1912年1月1日 中华书局创办
1917年1月1日 胡适发起文学改良运动
1923年1月1日 彭湃担任海丰县农会会长
1939年1月1日 国民党中常会决定开除汪精卫党籍
1942年1月1日 中苏美英等国签署《联合国家共同宣言》
1948年1月1日 中国国民党革命委员会在香港成立
1956年1月1日 《解放军报》创刊
1960年1月1日 刘家峡水利枢纽胜利截流
1979年1月1日 《中华人民共和国全国人大常委会告台湾同胞书》发表
1979年1月1日 中国与美国建立外交关系
1959年1月1日 古巴革命胜利
1981年1月1日 《中华人民共和国婚姻法》（修正草案）公布施行
1982年1月1日 全国农村工作会议纪要
1984年1月1日 中国工商银行成立
1984年1月1日 关于１９８４年农村工作的通知
1984年1月1日 中国正式成为国际原子能机构成员国
1985年1月1日 活跃农村经济，中共中央、国务院出台新政策
1988年1月1日 天安门城楼正式对外开放
1994年1月1日 欧洲经济区成立
1995年1月1日 世界贸易组织成立
1998年1月1日 我国与南非建立外交关系
1999年1月1日 欧元诞生
2002年1月1日 欧元正式进入流通
1863年1月1日 奥林匹克运动创始人顾拜旦诞辰
1912年1月1日 孙中山就任中华民国临时大总统

************************************************************
01月02日

1923年1月2日 《中国国民党党纲》公布
1952年1月2日 罗盛教抢救朝鲜儿童异国献身
1966年1月2日 《人民日报》介绍大庆人建设经验
1977年1月2日 洛阳黄河公路大桥建成通车
1980年1月2日 我国与厄瓜多尔建交
1992年1月2日 我国与乌兹别克斯坦建交
1997年1月2日 科菲・安南正式就任联合国秘书长
1992年1月2日 加利就任第六届联合国秘书长
1963年1月2日 第一次断臂再植成功
1875年1月2日 爱国民主人士沈钧儒诞辰

************************************************************
01月03日

1839年1月3日 钦差大臣林则徐到广东查禁鸦片
1843年1月3日 魏源编著《海国图志》刻本出版
1868年1月3日 日本明治维新
1912年1月3日 孙中山领导的国民临时政府组成
1946年1月3日 国民政府承认外蒙独立
1967年1月3日 “一月风暴”引发夺权之风席卷全国
1927年1月3日 汉口爆发“一・三”事件
1911年1月3日 伦敦警察痛恨俄无政府主义者
1923年1月3日 《好兵帅克》作者哈谢克逝世
1992年1月3日 我国与哈萨克斯坦建交

************************************************************
01月04日

